"","pubDate","tweet","author"
"1","Tue, 11 Dec 2012 09:19:23 +0000","RT if you want to watch Parokya ni Edgar, 6Cyclemind, and Bamboo perform LIVE on our Pamasko ng Globe event! :) #GlobeiPhone5","enjoyGLOBE@twitter.com (Globe Telecom)"
"2","Tue, 11 Dec 2012 09:11:05 +0000","Ur fave celebs will be there: @KrisAquino214 @NikkiGil @XtianBautista @mePauloAvelino &amp; more! RT if u're excited to see them! #GlobeiPhone5","enjoyGLOBE@twitter.com (Globe Telecom)"
"3","Tue, 11 Dec 2012 08:53:24 +0000","YOU ARE INVITED! Join us at the biggest Christmas event of the year, PAMASKO NG GLOBE! :) #GlobeiPhone5 http://t.co/Mer8c3jv","enjoyGLOBE@twitter.com (Globe Telecom)"
"4","Thu, 13 Dec 2012 01:42:48 +0000","Win A #GLOBEiPhone5 by watching (http://t.co/i1hFwKVq). Beckies won! Protect your #GLOBEiPhone5 with #GadgetCare only from @enjoyglobe 552","carldesales@twitter.com (B▲DDIE_C▲RL)"
"5","Thu, 13 Dec 2012 01:42:48 +0000","lol overwhelming demands na daw sa #GlobeiPhone5 so sa Dec 15 pa ulit magpprocess ng applications.","apolloverse@twitter.com (Andrew Velasco)"
"6","Thu, 13 Dec 2012 01:42:47 +0000","RT @enjoyGLOBE: Let the countdown begin! Who's joining us tonight for the Pamasko ng Globe event at the New Glorietta, 6PM? :) #GlobeiPhone5","regiebueno@twitter.com (Regie R. Bueno)"
"7","Thu, 13 Dec 2012 01:42:42 +0000","RT @enjoyGLOBE: Let the countdown begin! Who's joining us tonight for the Pamasko ng Globe event at the New Glorietta, 6PM? :) #GlobeiPhone5","jakeskiers@twitter.com (Jacob  Santiago)"
"8","Thu, 13 Dec 2012 01:42:42 +0000","WIN A #GLOBEIphone5 by watching (http://t.co/ALUU1c8N). (BECKIES) won! Protect your #GLOBEiPhone5 with #GadgetCare only from @EnjoyGlobe","AllOverUgen@twitter.com (Eugene Sietereales)"
"9","Thu, 13 Dec 2012 01:42:07 +0000","Win A #GLOBEiPhone5 by watching (http://t.co/i1hFwKVq). Beckies won! Protect your #GLOBEiPhone5 with #GadgetCare only from @enjoyglobe 551","carldesales@twitter.com (B▲DDIE_C▲RL)"
"10","Thu, 13 Dec 2012 01:42:03 +0000","@enjoyGLOBE I'm going! See you later #GlobeFanatics!! ;) #GlobeiPhone5 loveeeet!!!","iLovejen0521@twitter.com (J-Loves-H)"
"11","Thu, 13 Dec 2012 01:42:01 +0000","RT @enjoyGLOBE: Let the countdown begin! Who's joining us tonight for the Pamasko ng Globe event at the New Glorietta, 6PM? :) #GlobeiPhone5","heyitschaii@twitter.com (Genevieve Montaniel)"
"12","Thu, 13 Dec 2012 01:41:42 +0000","RT @enjoyGLOBE: Let the countdown begin! Who's joining us tonight for the Pamasko ng Globe event at the New Glorietta, 6PM? :) #GlobeiPhone5","rhea1549@twitter.com (rhea)"
"13","Thu, 13 Dec 2012 01:41:39 +0000","RT @enjoyGLOBE: Let the countdown begin! Who's joining us tonight for the Pamasko ng Globe event at the New Glorietta, 6PM? :) #GlobeiPhone5","maloutVC@twitter.com (Malout V. Caparas)"
"14","Thu, 13 Dec 2012 01:41:38 +0000","Win A #GLOBEiPhone5 by watching (http://t.co/i1hFwKVq). Beckies won! Protect your #GLOBEiPhone5 with #GadgetCare only from @enjoyglobe 550","carldesales@twitter.com (B▲DDIE_C▲RL)"
"15","Thu, 13 Dec 2012 01:41:37 +0000","RT @enjoyGLOBE: Let the countdown begin! Who's joining us tonight for the Pamasko ng Globe event at the New Glorietta, 6PM? :) #GlobeiPhone5","BebeKimmiyy@twitter.com (Kimberly D. ♡)"
"16","Thu, 13 Dec 2012 01:41:36 +0000","@enjoyGLOBE is it going to be tonight?the launcn of my #GlobeiPhone5","iamd1reymondgie@twitter.com (reymond-gie)"
"17","Thu, 13 Dec 2012 01:41:19 +0000","WIN A #GLOBEIphone5 by watching (http://t.co/Vgc7i1J0). BEKKIES! won! Protect your #GLOBEiPhone5 with #GadgetCare only from @enjoyGLOBE","Jagger_swagger0@twitter.com (Jay Matias)"
"18","Thu, 13 Dec 2012 01:41:16 +0000","Win A #GLOBEiPhone5 by watching (http://t.co/i1hFwKVq). Beckies won! Protect your #GLOBEiPhone5 with #GadgetCare only from @enjoyglobe 549","carldesales@twitter.com (B▲DDIE_C▲RL)"
"19","Thu, 13 Dec 2012 01:40:45 +0000","Win A #GLOBEiPhone5 by watching (http://t.co/i1hFwKVq). Beckies won! Protect your #GLOBEiPhone5 with #GadgetCare only from @enjoyglobe 548","carldesales@twitter.com (B▲DDIE_C▲RL)"
"20","Thu, 13 Dec 2012 01:40:13 +0000","RT @enjoyGLOBE: Let the countdown begin! Who's joining us tonight for the Pamasko ng Globe event at the New Glorietta, 6PM? :) #GlobeiPhone5","iamsuperbianca@twitter.com (bianca gonzalez)"
"21","Thu, 13 Dec 2012 01:40:09 +0000","**WIN A #GLOBEIphone5 by watching (http://t.co/7fhXnQzN). @beckynights won! Protect your #GLOBEiPhone5 with #GadgetCare only from @EnjoyGlobe","iLoveCharles30@twitter.com (Charles Mamaclay)"
"22","Thu, 13 Dec 2012 01:40:07 +0000","Win A #GLOBEiPhone5 by watching (http://t.co/i1hFwKVq). Beckies won! Protect your #GLOBEiPhone5 with #GadgetCare only from @enjoyglobe 547","carldesales@twitter.com (B▲DDIE_C▲RL)"
"23","Thu, 13 Dec 2012 01:40:05 +0000","I want #GlobeiPhone5 #GlobeiPhone5 #GlobeiPhone5. ♥","xoxoKismet@twitter.com (Jacel Stevens ©)"
"24","Thu, 13 Dec 2012 01:40:03 +0000","**WIN A #GLOBEIphone5 by watching (http://t.co/7fhXnQzN). @beckynights won! Protect your #GLOBEiPhone5 with #GadgetCare only from @EnjoyGlobe","iLoveCharles30@twitter.com (Charles Mamaclay)"
"25","Thu, 13 Dec 2012 01:39:58 +0000","**WIN A #GLOBEIphone5 by watching (http://t.co/7fhXnQzN). @beckynights won! Protect your #GLOBEiPhone5 with #GadgetCare only from @EnjoyGlobe","iLoveCharles30@twitter.com (Charles Mamaclay)"
"26","Thu, 13 Dec 2012 01:39:55 +0000","@enjoyGLOBE @talk2GLOBE #GlobeiPhone5 do you give free iPhone5 for loyal customers? I have three postpaid lines under my name.","iamJMstaana@twitter.com (Jan Sta. Ana)"
"27","Thu, 13 Dec 2012 01:39:52 +0000","**WIN A #GLOBEIphone5 by watching (http://t.co/7fhXnQzN). @beckynights won! Protect your #GLOBEiPhone5 with #GadgetCare only from @EnjoyGlobe","iLoveCharles30@twitter.com (Charles Mamaclay)"
"28","Thu, 13 Dec 2012 01:39:20 +0000","WIN A #GLOBEIphone5 by watching (http://t.co/rFc1JTLa  ).Beckies won! Protect your #GLOBEiPhone5 with #GadgetCare only from @enjoyGLOBE 106","juztkidding06@twitter.com (Renz dela Cruz)"
"29","Thu, 13 Dec 2012 01:39:16 +0000","WIN A #GLOBEIphone5 by watching (http://t.co/rFc1JTLa  ).Beckies won! Protect your #GLOBEiPhone5 with #GadgetCare only from @enjoyGLOBE 105","juztkidding06@twitter.com (Renz dela Cruz)"
"30","Thu, 13 Dec 2012 01:39:12 +0000","WIN A #GLOBEIphone5 by watching (http://t.co/rFc1JTLa  ).Beckies won! Protect your #GLOBEiPhone5 with #GadgetCare only from @enjoyGLOBE 104","juztkidding06@twitter.com (Renz dela Cruz)"
